Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	133	dan	copula	0	C	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	137	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	142	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	143	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	144	allan	auxiliary	n	##	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	145	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	147	dan	copula	n	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	151	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	152	dan	copula	n	C	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	9	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	10	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	32	allan	auxiliary	0	##	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	34	allan	auxiliary	0	##	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	49	dan	copula	0	C	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	50	dan	copula	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	51	allan	auxiliary	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	52	dan	copula	0	V	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	61	dan	copula	0	V	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	67	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	68	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	72	dan	copula	0	#	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	80	gogon	auxiliary	n	V	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	92	dan	copula	0	#	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	93	allan	auxiliary	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	103	allan	auxiliary	0	C	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	109	dan	copula	n	C	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	122	allan	auxiliary	n	V	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	127	dan	copula	0	C	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	10	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	11	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	13	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	15	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	18	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	28	allan	auxiliary	0	##	prs	1
BJJ	Limol	M	62+	Yamkong	Käballag	Y	36	dan	copula	0	##	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	42	agan	auxiliary	n	V	rec	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	47	gogon	auxiliary	n	##	rem	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	49	dan	copula	0	C	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	68	allan	auxiliary	0	C	prs	1
BJJ	Limol	M	62+	Yamkong	Käballag	Y	69	allan	auxiliary	n	V	prs	1
BJJ	Limol	M	62+	Yamkong	Käballag	Y	75	dan	copula	0	C	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	78	dan	copula	0	V	prs	3
BJJ	Limol	M	62+	Yamkong	Käballag	Y	79	dan	copula	n	##	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	5	dan	copula	n	V	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	6	dan	copula	n	##	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	12	agan	auxiliary	n	##	rec	1
CSS	Malam	F	15-29	Ddɨliag		Y	21	dan	copula	0	##	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	26	dan	copula	0	#	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	30	dan	copula	0	#	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	35	dan	copula	0	C	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	38	dan	copula	0	C	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	42	dan	copula	0	C	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	43	bogon	auxiliary	n	V	fut	3
CSS	Malam	F	15-29	Ddɨliag		Y	44	dan	copula	0	##	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	51	allan	auxiliary	n	V	prs	1
CSS	Malam	F	15-29	Ddɨliag		Y	52	dan	copula	0	#	prs	1
CSS	Malam	F	15-29	Ddɨliag		Y	59	dan	copula	0	V	prs	1
CSS	Malam	F	15-29	Ddɨliag		Y	62	dan	copula	0	C	prs	3
CSS	Malam	F	15-29	Ddɨliag		Y	65	allan	auxiliary	n	V	prs	1
CSS	Malam	F	15-29	Ddɨliag		Y	72	bogon	auxiliary	n	V	fut	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	23	allan	auxiliary	n	##	prs	1
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	35	dan	copula	0	C	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	38	dan	copula	0	#	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	39	dan	copula	0	C	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	40	dan	copula	0	##	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	43	gogon	auxiliary	n	##	rem	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	47	dan	copula	n	C	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	48	dan	copula	n	#	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	51	allan	auxiliary	n	##	prs	1
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	52	bogon	auxiliary	n	##	fut	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	54	dan	copula	0	##	prs	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	77	bogon	auxiliary	n	##	fut	3
DMJ	Limol	M	15-29	Yamkong	Bobeag	Y	83	bogon	auxiliary	n	V	fut	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	20	dan	copula	n	##	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	28	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	38	bogon	auxiliary	n	##	fut	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	52	dan	copula	0	#	prs	2
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	55	dan	copula	0	C	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	56	dan	copula	0	C	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	62	agan	auxiliary	n	V	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	76	agan	auxiliary	0	C	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	77	agan	auxiliary	0	##	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	85	agan	auxiliary	n	##	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	88	agan	auxiliary	0	C	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	89	agan	auxiliary	0	#	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	91	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	93	allan	auxiliary	0	##	prs	1
