Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
AKD	Limol	M	15-29	Yamkong	Pallong	N	89	bogon	auxiliary	n	##	fut	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	95	agan	auxiliary	0	C	rec	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	96	agan	auxiliary	0	##	rec	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	97	agan	auxiliary	0	##	rec	3			
AKD	Limol	M	15-29	Yamkong	Pallong	N	104	agan	auxiliary	n	##	rec	1			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	4	dan	copula	0	##	prs	1			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	10	dan	copula	0	V	prs	1			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	12	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	25	agan	auxiliary	0	C	rec	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	27	agan	auxiliary	0	##	rec	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	29	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	30	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	31	dan	copula	0	C	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	37	allan	auxiliary	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	38	allan	auxiliary	n	##	prs	1			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	40	allan	auxiliary	n	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	52	dan	copula	0	C	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	55	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	60	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	67	allan	auxiliary	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	74	allan	auxiliary	0	##	prs	1			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	82	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	85	allan	auxiliary	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	95	dan	copula	0	##	prs	3			
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	96	allan	auxiliary	0	C	prs	1			
AMM	Malam	M	62+	Yamkong	Dumang	Y	9	gogon	auxiliary	n	##	rem	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	10	gogon	auxiliary	n	##	rem	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	32	allan	auxiliary	0	##	prs	1			
AMM	Malam	M	62+	Yamkong	Dumang	Y	34	allan	auxiliary	0	##	prs	1			
AMM	Malam	M	62+	Yamkong	Dumang	Y	49	dan	copula	0	C	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	50	dan	copula	0	##	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	51	allan	auxiliary	0	##	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	52	dan	copula	0	V	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	61	dan	copula	0	V	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	67	gogon	auxiliary	n	##	rem	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	68	gogon	auxiliary	n	##	rem	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	72	dan	copula	0	#	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	80	gogon	auxiliary	n	V	rem	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	92	dan	copula	0	#	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	93	allan	auxiliary	0	##	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	103	allan	auxiliary	0	C	prs	1			
AMM	Malam	M	62+	Yamkong	Dumang	Y	109	dan	copula	n	C	prs	3			
AMM	Malam	M	62+	Yamkong	Dumang	Y	122	allan	auxiliary	n	V	prs	1			
AMM	Malam	M	62+	Yamkong	Dumang	Y	127	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	6	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	14	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	15	dan	copula	0	##	prs	3			
ANN	Malam	F	62+	Yamkong		N	16	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	18	allan	auxiliary	0	##	prs	1			
ANN	Malam	F	62+	Yamkong		N	23	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	28	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	40	dan	copula	0	##	prs	3			
ANN	Malam	F	62+	Yamkong		N	42	dan	copula	0	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	46	dan	copula	0	##	prs	1			
ANN	Malam	F	62+	Yamkong		N	48	dan	copula	0	##	prs	3			
ANN	Malam	F	62+	Yamkong		N	50	dan	copula	n	C	prs	3			
ANN	Malam	F	62+	Yamkong		N	58	allan	auxiliary	0	V	prs	1			
ANN	Malam	F	62+	Yamkong		N	79	agan	auxiliary	n	##	rec	1			
ANN	Malam	F	62+	Yamkong		N	80	agan	auxiliary	0	V	rec	1			
ANN	Malam	F	62+	Yamkong		N	81	agan	auxiliary	n	#	rec	1			
ANN	Malam	F	62+	Yamkong		N	82	agan	auxiliary	n	##	rec	1			
ANN	Malam	F	62+	Yamkong		N	90	dan	copula	0	V	prs	3			
ANN	Malam	F	62+	Yamkong		N	91	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	10	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	11	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	13	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	15	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	18	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	28	allan	auxiliary	0	##	prs	1			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	36	dan	copula	0	##	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	42	agan	auxiliary	n	V	rec	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	47	gogon	auxiliary	n	##	rem	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	49	dan	copula	0	C	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	68	allan	auxiliary	0	C	prs	1			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	69	allan	auxiliary	n	V	prs	1			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	75	dan	copula	0	C	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	78	dan	copula	0	V	prs	3			
BJJ	Limol	M	62+	Yamkong	Ka?ballag	Y	79	dan	copula	n	##	prs	3			
BMK	Limol	M	62+	Dd?liag	Llimollang	N	7	dan	copula	0	V	prs	3			
BMK	Limol	M	62+	Dd?liag	Llimollang	N	19	dan	copula	n	##	prs	3			
BMK	Limol	M	62+	Dd?liag	Llimollang	N	67	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	41	dan	copula	0	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	42	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	49	dan	copula	0	#	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	50	dan	copula	n	#	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	52	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	55	dan	copula	0	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	65	dan	copula	0	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	71	allan	auxiliary	0	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	88	dan	copula	n	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	94	dan	copula	0	C	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	101	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	103	gogon	auxiliary	n	##	rem	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	110	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	111	dan	copula	0	V	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	118	gogon	auxiliary	0	V	rem	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	147	allan	auxiliary	0	##	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	148	allan	auxiliary	n	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	149	allan	auxiliary	0	V	prs	3			
