Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
AKD	Limol	M	15-29	Yamkong	Pallong	N	095	agan	auxiliary	0	C	rec	3
AKD	Limol	M	15-29	Yamkong	Pallong	N	096	agan	auxiliary	0	##	rec	3
AKD	Limol	M	15-29	Yamkong	Pallong	N	097	agan	auxiliary	0	##	rec	3
AKD	Limol	M	15-29	Yamkong	Pallong	N	104	agan	auxiliary	n	##	rec	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	012	bogon	auxiliary	n	V	fut	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	019	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	021	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	028	dan	copula	n	#	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	036	allan	auxiliary	0	C	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	040	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	046	allan	auxiliary	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	047	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	050	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	052	dan	copula	0	#	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	057	dan	copula	n	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	064	allan	auxiliary	0	##	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	067	dan	copula	0	V	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	070	dan	copula	n	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	074	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	089	agan	auxiliary	n	##	rec	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	091	agan	auxiliary	n	##	rec	1
